drugbank_id	mesh_id
DB00447	D011014
DB00447	D012852
DB00447	D014069
DB00447	D054705
DB00447	D014552
DB00447	D011704
DB00447	C566367
DB00448	D013276
DB00448	D004381
DB00448	D004942
DB00448	D005764
DB00448	D013276
DB00448	D013272
DB00448	D012734
DB00448	D015043
DB00449	D005902
DB00450	D009325
DB00451	D003409
DB00452	D001762
DB00452	D006335,D065306
DB00452	D003320
DB00452	D015817
DB00453	D002006
DB00453	D009175
DB00453	D000152
DB00453	D002690
DB00454	D010146
DB00455	D014581
DB00457	D006973
DB00457	D001249
DB00457	D029424
DB00457	D029424
DB00458	D004775
DB00458	D016584
DB00458	D000379
DB00458	D001289
DB00458	D052018
DB00458	D009497
DB00458	D001714
DB00458	D012559
DB00458	D040701
DB00458	D013313
DB00458	D051474
DB00458	D003929
DB00459	D011565
DB00460	D020256
DB00460	D008268
DB00460	D009216
DB00461	D001172
DB00461	D010003
DB00462	D010437
DB00462	D009325
DB00462	D014839
DB00462	D009041
DB00463	D004827
DB00465	D059787
DB00465	D059226
DB00465	D001172
DB00465	D010003
DB00465	D013167
DB00465	D008599
DB00465	D006261
DB00465	D010146
DB00466	D012127
DB00467	C538072
DB00467	D014552
DB00467	D003556
DB00468	D008288
DB00468	D020922
DB00469	D001172
DB00469	D010003
DB00469	D001416
DB00469	D010146
DB00470	D000856,D000855
DB00470	D000163
DB00470	D009325
DB00470	D002277
DB00471	D001249
DB00471	D001249
DB00471	D012220
DB00471	D012221
DB00471	D006255
DB00472	D009771
DB00472	D052018
DB00472	D016584
DB00472	D000379
DB00475	D001008
DB00475	D000437
DB00476	D001008
DB00476	D003929
DB00476	D005356
DB00476	D059352
DB00476	D020370
DB00476	D017116
DB00476	D014550
DB00477	D012559
DB00477	D009325
DB00477	D011595
DB00477	D017118
DB00477	D013742
DB00477	D001714
DB00477	D006606
DB00477	D001289
DB00477	D019955
DB00479	D001424
DB00479	D000071074
DB00479	D008581
DB00479	D059413
DB00479	D010532,D010538
DB00479	D002056
DB00479	D014552
DB00479	D008171
DB00479	D013203
DB00479	D016905
DB00480	D009101
DB00480	D009190
DB00480	D002869
DB00480	D002869
DB00481	D010024
DB00482	D010003
DB00482	D010003
DB00482	D001172
DB00482	D001172
DB00482	D001171
DB00482	D013167
DB00484	D005902
DB00484	D009798
DB00486	D009325
DB00486	D002277
DB00487	D016905
DB00488	D010051
DB00489	D001281
DB00490	D001008
DB00491	D003924
DB00491	D003924
DB00491	D006943
DB00492	D006973
DB00492	D006333
DB00492	D007674
DB00492	D006973
DB00492	D003920
DB00493	D006069
DB00493	D008581
DB00493	D007239
DB00493	D011704
DB00494	D010300
DB00495	D000258
DB00496	D053201
DB00496	D053202
DB00497	D010146
DB00498	D011655
DB00498	D020766
DB00500	D001172
DB00500	D010003
DB00500	D001171
DB00501	D005764
DB00501	D005764
DB00501	D010437
DB00501	D006356
DB00502	D012559
DB00502	D011618
DB00502	D005879
DB00502	D001289
DB00502	D019955
DB00503	D015658
DB00504	D012131
DB00505	D010437
DB00507	C565627,D003967
DB00508	D011618
DB00508	D009325
DB00508	D014839
DB00511	D006333
DB00512	D004760
DB00514	D003371
DB00514	D006967
DB00514	D003139
DB00515	D013736
DB00516	D017449
DB00517	D010437
DB00518	D003551
DB00518	D004443
DB00519	D006973
DB00519	D006333
DB00519	D006333
DB00519	D009203
DB00519	D009203
DB00519	D007674
DB00519	D006973
DB00519	D003920
DB00521	D005902
DB00522	D010188
DB00523	C537797
DB00524	D006973
DB00525	D012874
DB00525	D014005
DB00525	D007239
DB00526	D012004
DB00528	D006973
DB00528	D000787
DB00528	D011928
DB00529	D017726
DB00529	D000163
DB00529	D000163
DB00529	D007239
DB00530	D002289
DB00530	D010190
DB00531	D008223
DB00531	D009101
DB00531	D007938
DB00531	D009182
DB00531	D009447
DB00531	D000230
DB00531	D012175
DB00531	D001943
DB00531	D009404
DB00532	D004828
DB00533	D010003
DB00533	D001172
DB00533	D059787
DB00533	D016584
DB00535	D010033
DB00535	D011014
DB00535	D010612
DB00535	D014069
DB00535	D013207
DB00535	D015523
DB00536	D018908
DB00536	D015624
DB00536	D009157
DB00537	D013207
DB00537	D059413
DB00537	D011014
DB00537	D064147
DB00537	C571912
DB00537	D010930
DB00537	D014552
DB00537	D011704
DB00537	D003231
DB00537	D003234
DB00537	D014552
DB00539	D001943
DB00539	D011471
DB00539	D019048
DB00540	D003865
DB00540	D059350
DB00540	D009437
DB00540	D043183
DB00541	D054198
DB00541	D054198
DB00541	D006689
DB00541	D008228
DB00541	D009396
DB00541	D009447
DB00541	D012208
DB00541	D054198
DB00542	D006973
DB00543	D000275
DB00543	D011595
DB00544	D002277
DB00544	D013272
DB00545	D009157
DB00546	D013226
DB00547	D012871
DB00548	D000152
DB00549	D001249
DB00550	D006980
DB00550	D006980
DB00550	D006111
DB00552	D007943
DB00553	D011565
DB00553	D014820
DB00554	D010003
DB00554	D001172
DB00555	D012640
DB00555	C535500
DB00555	D012640
DB00555	D001714
DB00555	D019964
DB00555	D019964
DB00557	D009497
DB00557	D011537
DB00557	D006967
DB00557	D000080223
DB00557	D009325
DB00559	C536282,D000081029
DB00559	D010661
DB00560	D059413
DB00561	D029424
DB00562	D004487
DB00563	D054198
DB00563	D001172
DB00563	D011565
DB00563	D002820
DB00563	D009506
DB00563	D001943
DB00563	D006258
DB00563	D009182
DB00563	D008175
DB00563	D008228
DB00563	D054198
DB00564	D004827
DB00564	D010146
DB00564	D014277
DB00564	D012640
DB00564	D001714
DB00564	D001714
DB00564	D012148
DB00566	D007855
DB00566	D008630
DB00567	D012141
DB00567	D010033
DB00567	D013207
DB00567	D010019
DB00568	D014717
DB00568	D008575
DB00568	D009325
DB00568	D009041
DB00568	D015837
DB00569	D006620
DB00569	D054556
DB00569	D011655
DB00569	D009203
DB00569	D009203
DB00569	D056824
DB00570	D001943
DB00570	D013736
DB00570	D008223
DB00570	D009447
DB00570	D006689
DB00570	D009182
DB00570	D015614
DB00570	D012514
DB00571	D006973
DB00571	D000787
DB00571	D003324
DB00571	D001281
DB00571	D009203
DB00571	D008881
DB00571	D020329
DB00571	D002312
DB00571	D010673
DB00571	D006392
DB00573	D001172
DB00573	D010003
DB00574	D004831
DB00575	D006973
DB00575	D010146,D000072716
DB00575	D001289
DB00575	D010673
DB00576	D014552
DB00577	D006558
DB00577	D006562
DB00577	D002644
DB00578	D001437
DB00579	D009765
DB00579	D006973
DB00579	D006949
