drugbank_id	category	entrez_gene_id	source	target	edges
DB02010	target	5588	Compound::DB02010	Gene::5588	DRUGBANK::target::Compound:Gene
DB02010	target	7535	Compound::DB02010	Gene::7535	DRUGBANK::target::Compound:Gene
DB02011	target	5009	Compound::DB02011	Gene::5009	DRUGBANK::target::Compound:Gene
DB02014	target	5770	Compound::DB02014	Gene::5770	DRUGBANK::target::Compound:Gene
DB02015	target	12933205	Compound::DB02015	Gene::12933205	DRUGBANK::target::Compound:Gene
DB02015	target	944790	Compound::DB02015	Gene::944790	DRUGBANK::target::Compound:Gene
DB02016	target	4047	Compound::DB02016	Gene::4047	DRUGBANK::target::Compound:Gene
DB02018	target	64499	Compound::DB02018	Gene::64499	DRUGBANK::target::Compound:Gene
DB02018	target	7177	Compound::DB02018	Gene::7177	DRUGBANK::target::Compound:Gene
DB02019	target	1100522	Compound::DB02019	Gene::1100522	DRUGBANK::target::Compound:Gene
DB02020	target	231	Compound::DB02020	Gene::231	DRUGBANK::target::Compound:Gene
DB02021	target	231	Compound::DB02021	Gene::231	DRUGBANK::target::Compound:Gene
DB02021	target	57016	Compound::DB02021	Gene::57016	DRUGBANK::target::Compound:Gene
DB02022	target	939807	Compound::DB02022	Gene::939807	DRUGBANK::target::Compound:Gene
DB02022	target	1253667	Compound::DB02022	Gene::1253667	DRUGBANK::target::Compound:Gene
DB02023	target	12932894	Compound::DB02023	Gene::12932894	DRUGBANK::target::Compound:Gene
DB02023	target	944824	Compound::DB02023	Gene::944824	DRUGBANK::target::Compound:Gene
DB02024	target	12931027	Compound::DB02024	Gene::12931027	DRUGBANK::target::Compound:Gene
DB02024	target	945553	Compound::DB02024	Gene::945553	DRUGBANK::target::Compound:Gene
DB02024	target	3169180	Compound::DB02024	Gene::3169180	DRUGBANK::target::Compound:Gene
DB02027	target	4846	Compound::DB02027	Gene::4846	DRUGBANK::target::Compound:Gene
DB02027	target	4842	Compound::DB02027	Gene::4842	DRUGBANK::target::Compound:Gene
DB02028	target	7275	Compound::DB02028	Gene::7275	DRUGBANK::target::Compound:Gene
DB02029	target	2053	Compound::DB02029	Gene::2053	DRUGBANK::target::Compound:Gene
DB02030	target	1253537	Compound::DB02030	Gene::1253537	DRUGBANK::target::Compound:Gene
DB02031	target	938802	Compound::DB02031	Gene::938802	DRUGBANK::target::Compound:Gene
DB02031	target	12933064	Compound::DB02031	Gene::12933064	DRUGBANK::target::Compound:Gene
DB02031	target	949035	Compound::DB02031	Gene::949035	DRUGBANK::target::Compound:Gene
DB02032	target	1636	Compound::DB02032	Gene::1636	DRUGBANK::target::Compound:Gene
DB02032	target	2612546	Compound::DB02032	Gene::2612546	DRUGBANK::target::Compound:Gene
DB02034	target	4124	Compound::DB02034	Gene::4124	DRUGBANK::target::Compound:Gene
DB02035	target	5538	Compound::DB02035	Gene::5538	DRUGBANK::target::Compound:Gene
